"CO=LC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
4n30_4,5,3495.78,3497.08,17.0,8.0,4101.22,4297.35,19.0,10.0,4260.82,4670.94,32.0,22.0,4622.84,4624.19,23.0,9.0
4n35_1,2,3112.3,3393.08,28.0,20.0,3178.27,3561.79,18.0,9.0,3188.55,3387.58,20.0,10.0,3244.48,3648.61,17.0,8.0
4n35_2,3,3362.13,3644.7,22.0,13.0,3637.04,4097.42,20.0,11.0,3813.93,4040.75,24.0,10.0,3798.0,3828.1,21.0,9.0
4n35_3,4,3557.74,3641.28,20.0,11.0,3993.7,4271.19,37.0,26.0,4151.5,4706.26,34.0,20.0,4306.43,4514.02,48.0,34.0
4n35_4,5,3676.84,3676.84,12.0,4.0,4273.5,4355.23,27.0,16.0,4588.6,4796.85,26.0,11.0,4615.88,4654.93,26.0,12.0
4n40_1,2,3164.57,3781.73,20.0,10.0,3334.39,3370.78,29.0,18.0,3407.89,3675.31,27.0,14.0,3518.09,3620.57,27.0,15.0
4n40_2,3,3448.13,3683.34,22.0,11.0,3591.37,4182.64,25.0,13.0,3718.04,3718.04,28.0,15.0,3775.58,3911.25,27.0,13.0
4n40_3,4,3632.39,3814.28,23.0,12.0,3925.8,4177.2,29.0,15.0,3975.8,4373.61,30.0,16.0,4186.1,4419.98,45.0,29.0
4n40_4,5,3814.81,3973.62,30.0,18.0,4285.58,4425.36,64.0,50.0,4441.45,5097.29,35.0,18.0,4561.07,4695.86,41.0,23.0
4n45_1,2,3761.16,4588.32,28.0,18.0,3849.16,5676.13,34.0,21.0,3937.02,4190.9,30.0,17.0,4173.49,4702.73,40.0,27.0
4n45_2,3,4121.13,4525.34,33.0,21.0,4237.88,5404.56,35.0,21.0,4379.5,5792.99,34.0,19.0,4584.77,4986.73,35.0,20.0
4n45_3,4,4506.54,4888.62,33.0,19.0,4676.39,5502.88,30.0,15.0,4841.14,5504.59,32.0,16.0,5185.58,5747.21,47.0,29.0
4n45_4,5,4762.44,4909.54,31.0,19.0,5120.69,5983.67,40.0,27.0,5316.93,6126.65,35.0,19.0,5820.81,6039.12,68.0,48.0
4n50_1,2,4012.58,5081.78,32.0,19.0,4075.29,4170.38,36.0,21.0,4120.64,4363.37,35.0,21.0,4227.52,4310.67,28.0,13.0
4n50_2,3,4618.59,5140.36,42.0,27.0,4681.13,5494.15,64.0,49.0,4736.88,4991.67,43.0,27.0,4898.82,5423.99,50.0,33.0
4n50_3,4,5210.28,5448.69,78.0,61.0,5390.65,6099.26,88.0,70.0,5588.38,5941.88,62.0,42.0,5592.29,5717.36,62.0,41.0
4n50_4,5,5505.57,5505.57,59.0,24.0,5902.29,6754.08,51.0,30.0,6157.35,6673.88,63.0,39.0,6291.18,6606.36,59.0,34.0
5n10_1,2,1746.51,1776.4,1.0,0.0,1785.51,1785.51,1.0,0.0,1824.51,1824.51,2.0,0.0,2075.6,2075.6,2.0,0.0
5n10_2,3,1885.57,1885.57,3.0,1.0,2020.57,2020.57,2.0,0.0,2155.57,2155.57,3.0,0.0,2377.78,2377.78,4.0,0.0
5n10_3,4,1939.01,1976.02,3.0,0.0,2236.54,2238.77,4.0,1.0,2331.63,2331.63,3.0,0.0,2749.03,2779.25,6.0,0.0
5n10_4,5,1971.33,1971.33,2.0,0.0,2392.46,2447.29,3.0,0.0,2684.29,2684.29,4.0,0.0,2896.84,2896.84,10.0,4.0
5n15_1,2,2112.11,2158.64,6.0,2.0,2312.39,2342.64,5.0,2.0,2398.73,2814.19,4.0,0.0,2532.53,2536.93,4.0,0.0
5n15_2,3,2307.06,2357.64,3.0,0.0,2675.02,2697.14,3.0,0.0,2837.02,2929.26,6.0,1.0,2936.02,2940.58,6.0,0.0
5n15_3,4,2425.0,2425.0,3.0,0.0,2937.5,2937.5,3.0,0.0,3210.8,3224.48,7.0,2.0,3401.04,3401.04,9.0,2.0
5n15_4,5,2530.98,2530.98,3.0,0.0,3121.46,3121.46,5.0,0.0,3480.67,3505.0,7.0,1.0,4054.15,4118.93,17.0,8.0
5n20_1,2,2829.57,3037.54,7.0,3.0,3063.36,3771.74,12.0,7.0,3113.11,3297.8,10.0,4.0,3273.77,3623.56,8.0,1.0
5n20_2,3,3127.0,3447.17,8.0,3.0,3579.5,3812.33,9.0,3.0,3733.89,3898.63,18.0,11.0,3981.7,4142.62,15.0,7.0
5n20_3,4,3418.11,3418.11,8.0,3.0,3997.45,4043.44,15.0,9.0,4369.9,4453.39,14.0,6.0,4623.69,4626.62,14.0,3.0
5n20_4,5,3559.48,3559.48,4.0,0.0,4296.8,4296.8,15.0,8.0,4714.3,4793.94,14.0,6.0,5371.07,5455.04,31.0,18.0
5n25_1,2,3266.06,3355.38,10.0,5.0,3369.65,3583.15,12.0,5.0,3304.76,3636.39,14.0,7.0,3301.73,3487.49,9.0,2.0
5n25_2,3,3530.52,3530.52,31.0,22.0,3802.93,3929.42,21.0,12.0,3914.68,4008.19,20.0,12.0,3917.25,4063.85,16.0,8.0
5n25_3,4,3663.28,3663.28,13.0,5.0,4137.07,4137.07,18.0,8.0,4379.51,4529.27,20.0,10.0,4468.29,4515.5,27.0,18.0
5n25_4,5,3924.42,3924.42,12.0,5.0,4570.07,4570.07,18.0,9.0,4750.57,4750.57,15.0,6.0,5083.66,5083.66,31.0,20.0
5n30_1,2,2826.63,2989.9,13.0,6.0,2969.3,3634.78,19.0,11.0,2992.04,3281.46,15.0,7.0,3019.14,3162.51,26.0,16.0
5n30_2,3,2951.45,3202.94,12.0,4.0,3272.45,3857.09,16.0,8.0,3358.45,3853.31,19.0,9.0,3394.49,3647.88,19.0,8.0
5n30_3,4,3111.96,3171.5,19.0,9.0,3535.08,3861.4,26.0,16.0,3685.85,4283.03,25.0,13.0,3796.06,4027.08,26.0,14.0
5n30_4,5,3235.86,3235.86,14.0,4.0,3742.49,4026.54,18.0,6.0,4037.81,4232.63,36.0,22.0,4158.53,4409.83,59.0,43.0
5n35_1,2,3181.94,3660.96,11.0,3.0,3371.15,3371.15,12.0,3.0,3382.98,3524.9,17.0,7.0,3385.34,3553.78,14.0,5.0
5n35_2,3,3409.18,3781.53,24.0,15.0,3696.62,4219.7,34.0,23.0,3795.37,4168.35,25.0,13.0,3824.96,4041.93,34.0,21.0
