Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
R_R_N50_Q18_T9,54725.6,0,-,2400,39625.6,-,7192.0,54725.6,,41837.9,-23.55,18005.0,1648.0,42174.0,-22.94
R_R_N50_Q18_T12,53320.4,0,-,2400,42969.5,-,7193.0,53320.4,,44607.2,-16.34,18006.0,16679.0,45223.58,-15.19
R_R_N50_Q38_T6,28851.4,0,-,2400,13628.0,-,7194.0,28851.4,,15179.6,-47.39,9828.0,9474.0,15525.25,-46.19
R_R_N50_Q38_T9,43120.8,0,-,2400,22461.9,-,7192.0,43120.8,,24885.8,-42.29,18002.0,17698.0,25333.61,-41.25
R_R_N50_Q38_T12,52335.4,0,-,2400,27160.6,-,7192.0,52335.4,,30786.2,-41.18,18022.0,17955.0,31783.75,-39.27
U_R_N50_Q8_T6,13709.2,0,-,2400,10477.8,14218.80,7197.0,13709.2,,10656.5,-22.27,18000.0,13748.0,10723.62,-21.78
U_R_N50_Q8_T9,21808.0,0,-,2400,16178.1,-,7197.0,21808.0,,16380.0,-24.89,16722.0,13572.0,16408.88,-24.76
U_R_N50_Q8_T12,33512.7,0,-,2400,22389.2,-,7189.0,33512.7,,22714.6,-32.22,18003.0,17353.0,22761.53,-32.08
U_R_N50_Q18_T6,7043.67,0,-,2400,4534.75,5620.24,7196.0,5620.24,,4736.95,-15.72,14893.0,12459.0,4787.55,-14.82
U_R_N50_Q18_T9,14865.4,0,-,2400,11237.5,-,7191.0,14865.4,,11926.2,-19.77,18002.0,10549.0,11992.59,-19.33
U_R_N50_Q18_T12,12781.6,0,-,2400,10417.3,-,7191.0,12781.6,,11013.3,-13.83,7211.0,4856.0,11113.0,-13.05
U_R_N50_Q38_T6,5202.06,0,-,2400,2259.37,2703.34,7195.0,2703.34,,2413.16,-10.73,18000.0,17672.0,2495.28,-7.7
U_R_N50_Q38_T9,7160.5,0,-,2400,3298.6,-,7194.0,7160.5,,3671.55,-48.72,18590.0,17861.0,3725.85,-47.97
U_R_N50_Q38_T12,10657.4,0,-,2400,5104.72,-,7193.0,10657.4,,5797.02,-45.61,18007.0,16352.0,5876.73,-44.86
R_RC_N50_Q8_T6,50984.1,0,-,2400,40202.5,42396.10,7199.0,42396.1,,40670.9,-4.07,18000.0,17859.0,40766.57,-3.84
R_RC_N50_Q8_T9,112998.0,0,-,2400,89475.1,94072.70,7195.0,94072.7,,90091.0,-4.23,18002.0,16854.0,90209.26,-4.11
R_RC_N50_Q8_T12,201268.0,0,-,2400,129804.0,186777.00,7189.0,186777.0,,131431.0,-29.63,18007.0,16965.0,131740.0,-29.47
R_RC_N50_Q18_T6,36566.2,0,-,2400,24173.7,30263.80,7194.0,30263.8,,25073.3,-17.15,18001.0,17820.0,25292.29,-16.43
R_RC_N50_Q18_T9,79805.4,0,-,2400,67172.6,-,7192.0,79805.4,,69267.8,-13.2,18002.0,1287.0,69718.28,-12.64
R_RC_N50_Q18_T12,102798.0,0,-,2400,81865.2,-,7193.0,102798.0,,84954.4,-17.36,18017.0,4024.0,85674.74,-16.66
R_RC_N50_Q38_T6,26320.5,0,-,2400,12590.5,-,7194.0,26320.5,,13329.0,-49.36,18000.0,17190.0,13574.12,-48.43
R_RC_N50_Q38_T9,55307.1,0,-,2400,18657.8,25312.40,7191.0,25312.4,,20562.0,-18.77,18002.0,17678.0,20964.33,-17.18
R_RC_N50_Q38_T12,51830.0,0,-,2400,21724.0,-,7192.0,51830.0,,25399.1,-51.0,18004.0,12572.0,26126.27,-49.59
U_RC_N50_Q8_T6,14865.1,0,-,2400,11296.5,12546.20,7197.0,12546.2,,11504.61,-8.30,18000.0,17436.0,11518.96,-8.19
U_RC_N50_Q8_T9,20473.1,0,-,2400,13166.3,19658.10,7193.0,19658.1,,13338.9,-32.15,18004.0,16149.0,13384.52,-31.91
U_RC_N50_Q8_T12,31809.1,0,-,2400,21075.7,30221.80,7193.0,30221.8,,21279.6,-29.59,7204.0,6756.0,21334.8,-29.41
