"CO=LC,H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n20_4,5,10237.8,10237.8,47.0,25.0,12429.1,12497.7,129.0,102.0,13530.0,13635.1,131.0,100.0,14343.9,14695.3,593.0,527.0
5n25_1,2,7650.44,8312.06,100.0,77.0,8052.34,8703.67,172.0,146.0,8220.93,8691.02,63.0,37.0,8344.05,8380.76,103.0,75.0
5n25_2,3,9031.76,9197.78,91.0,66.0,9613.25,10613.3,247.0,214.0,10011.6,10310.4,185.0,145.0,10054.2,10054.2,141.0,99.0
5n25_3,4,10216.9,10216.9,140.0,123.0,11303.6,11453.2,125.0,92.0,11730.7,12742.3,153.0,112.0,12139.7,12168.8,208.0,143.0
5n25_4,5,10831.7,10831.7,61.0,33.0,12610.7,12715.2,264.0,232.0,13621.5,13621.5,230.0,163.0,14093.7,14169.1,336.0,257.0
5n30_1,2,7151.94,7804.71,102.0,67.0,7569.0,8766.65,186.0,146.0,7734.35,8393.52,154.0,112.0,7834.08,7875.66,275.0,231.0
5n30_2,3,7904.8,7958.22,174.0,133.0,8587.32,8836.76,286.0,236.0,8861.86,9055.9,388.0,323.0,8943.22,9090.25,177.0,116.0
5n30_3,4,8609.67,8747.79,288.0,245.0,9502.19,9725.47,309.0,258.0,9834.91,10116.6,405.0,339.0,10041.3,10203.3,248.0,171.0
5n30_4,5,8982.73,8982.73,108.0,61.0,10319.2,10365.6,165.0,113.0,10870.1,11140.4,643.0,585.0,11269.4,11409.5,352.0,258.0
5n35_1,2,7778.68,7960.54,118.0,84.0,8403.62,9214.31,160.0,123.0,8636.8,8676.53,141.0,105.0,8941.07,8995.22,150.0,114.0
5n35_2,3,8592.8,8774.05,231.0,185.0,9254.57,10119.1,283.0,238.0,9639.25,9843.01,312.0,260.0,9987.16,10048.0,321.0,260.0
