Detailed results on small-scaled data with CO=HC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
2n30_5,22097.73,22743.83,2.92,209.33,22179.1,0.37,805,22097.73,22103.55,0.03,22116.2,0.08,,22055.2,-0.19,2485.0,2485.0,22105.04,0.03
3n30_2,20990.93,21311.82,1.53,175.85,21049,0.28,52,20990.93,21063.2,0.34,20990.93,0.0,,20990.9,0.0,1406.0,1082.0,20991.4,0.0
3n30_3,21920.38,22290.62,1.69,225.66,22059.6,0.63,496,21920.38,21924.47,0.02,21920.38,0.0,,21876.7,-0.2,2613.0,2613.0,21910.16,-0.05
3n30_4,22793.24,23511.52,3.15,233.23,23298,2.21,455,22793.24,22793.24,0.0,22886.23,0.41,,22800.3,0.03,1024.0,737.0,22812.15,0.08
3n30_5,23795.99,24650.72,3.59,230.63,24007.7,0.89,837,23795.99,23874.72,0.33,23847.13,0.21,,23796.1,0.0,5911.0,5911.0,23819.74,0.1
4n30_2,16697.12,17199.6,3.01,179.26,16718.3,0.13,532,16697.12,16732.15,0.21,16718.09,0.13,,16697.1,0.0,1294.0,879.0,16697.6,0.0
4n30_3,17705.56,18020.8,1.78,201.87,17994.2,1.630,780,17705.56,17728.52,0.13,17724.58,0.11,,17668.3,-0.21,2846.0,2846.0,17716.1,0.06
4n30_4,18855.86,19519.7,3.52,204.03,19251,2.10,843,18855.86,18855.86,0.0,19101.28,1.3,,18858.6,0.01,2521.0,2521.0,18890.89,0.19
4n30_5,20157.66,20725,2.81,175.78,20452.8,1.46,887,20157.66,20244.77,0.43,20380.93,1.11,,20129.4,-0.14,5468.0,5468.0,20200.8,0.21
5n30_2,17679.38,17890.32,1.19,319.47,17738.4,0.33,586,17679.38,17679.38,0.0,17711.83,0.18,,17681.6,0.01,1568.0,1568.0,17686.55,0.04
5n30_3,18720.09,19113.72,2.10,235.41,18830.8,0.59,633,18720.09,18759.37,0.21,18720.09,0.0,,18673.0,-0.25,3049.0,3049.0,18765.51,0.24
5n30_4,19851.53,20422.52,2.89,226.39,20069.4,1.10,830,19851.53,19964.99,0.57,19851.53,0.0,,19845.0,-0.03,1742.0,1420.0,19911.15,0.3
5n30_5,21055.52,21736.02,3.23,213.36,21319.7,1.25,891,21055.52,21148.03,0.44,21055.52,0.0,,21061.5,0.03,2731.0,2321.0,21114.66,0.28
1n35_2,21061.23,-,-,-,-,-,-,21061.23,21061.53,0.0,21083.07,0.1,,21062.4,0.01,1371.0,1371.0,21068.88,0.04
1n35_3,22177.26,-,-,-,-,-,-,22177.26,22190.24,0.06,22203.54,0.12,,22160.9,-0.07,2239.0,1970.0,22189.91,0.06
1n35_4,23333.17,-,-,-,-,-,-,23333.17,23459.83,0.54,23423.2,0.39,,23330.0,-0.01,4886.0,4886.0,23373.18,0.17
1n35_5,24466.8,-,-,-,-,-,-,24466.8,24579.49,0.46,24497.94,0.13,,24540.5,0.3,5337.0,4956.0,24540.5,0.3
2n35_2,19251.42,-,-,-,-,-,-,19251.42,19316.85,0.34,19251.42,0.0,,19266.1,0.08,1919.0,1469.0,19267.89,0.09
2n35_3,20140.61,-,-,-,-,-,-,20140.61,20198.45,0.29,20176.08,0.18,,20108.5,-0.16,1749.0,1749.0,20115.59,-0.12
2n35_4,21040.94,-,-,-,-,-,-,21040.94,21064.57,0.11,21075.27,0.16,,21041.7,0.0,3233.0,3233.0,21072.06,0.15
2n35_5,22201.82,-,-,-,-,-,-,22201.82,22322.61,0.54,22246.49,0.2,,22118.2,-0.38,3433.0,3433.0,22202.74,0.0
3n35_2,24538.08,-,-,-,-,-,-,24538.08,24538.08,0.0,24755.57,0.89,,24538.8,0.0,543.0,363.0,24548.5,0.04
3n35_3,26085.54,-,-,-,-,-,-,26085.54,26085.54,0.0,26242.35,0.6,,26087.6,0.01,1126.0,891.0,26091.04,0.02
3n35_4,27760.46,-,-,-,-,-,-,27760.46,27760.46,0.0,27884.99,0.45,,27766.2,0.02,5066.0,5066.0,27805.98,0.16
3n35_5,29589.34,-,-,-,-,-,-,29589.34,29750.19,0.54,29589.34,0.0,,29630.3,0.14,5753.0,5753.0,29697.96,0.37
4n35_2,18890.87,-,-,-,-,-,-,18890.87,18890.87,0.0,18977.72,0.46,,18890.9,0.0,1434.0,1434.0,18891.02,0.0
4n35_3,20234.97,-,-,-,-,-,-,20234.97,20234.97,0.0,20494.79,1.28,,20310.7,0.37,3662.0,3662.0,20345.25,0.54
4n35_4,21760.69,-,-,-,-,-,-,21760.69,21760.69,0.0,21815.66,0.25,,21724.0,-0.17,3638.0,3154.0,21792.71,0.15
4n35_5,23194.64,-,-,-,-,-,-,23194.64,23210.14,0.07,23194.64,0.0,,23189.2,-0.02,4197.0,3787.0,23270.21,0.33
5n35_2,19928.2,-,-,-,-,-,-,19928.2,19944.94,0.08,19928.2,0.0,,19928.4,0.0,898.0,693.0,19931.91,0.02
5n35_3,20939.47,-,-,-,-,-,-,20939.47,20961.16,0.1,20987.36,0.23,,20933.5,-0.03,2449.0,2162.0,20968.58,0.14
5n35_4,22157.73,-,-,-,-,-,-,22157.73,22311.65,0.69,22221.82,0.29,,22191.5,0.15,5130.0,5130.0,22210.74,0.24
5n35_5,23384.55,-,-,-,-,-,-,23384.55,23540.13,0.67,23384.55,0.0,,23395.0,0.04,7200.0,7200.0,23473.5,0.38
1n40_2,24435.89,-,-,-,-,-,-,24435.89,24458.22,0.09,24470.85,0.14,,24437.7,0.01,1841.0,1841.0,24627.04,0.78
1n40_3,25932.69,-,-,-,-,-,-,25932.69,25990.85,0.22,26052.16,0.46,,26027.2,0.36,5008.0,5008.0,26082.52,0.58
1n40_4,27431.25,-,-,-,-,-,-,27431.25,27657.05,0.82,27437.0,0.02,,27392.6,-0.14,3216.0,2809.0,27447.99,0.06
1n40_5,29019.19,-,-,-,-,-,-,29019.19,29195.25,0.61,29020.14,0.0,,28973.6,-0.16,3558.0,3053.0,29112.81,0.32
2n40_2,20198.29,-,-,-,-,-,-,20198.29,20491.35,1.45,20198.29,0.0,,20198.9,0.0,971.0,751.0,20205.76,0.04
2n40_3,21164.66,-,-,-,-,-,-,21164.66,21444.94,1.32,21164.66,0.0,,21164.7,0.0,1895.0,1343.0,21192.26,0.13
2n40_4,22510.64,-,-,-,-,-,-,22510.64,22750.26,1.06,22510.64,0.0,,22511.2,0.0,1969.0,1969.0,22588.62,0.35
2n40_5,23877.0,-,-,-,-,-,-,23877.0,24066.71,0.79,23877.0,0.0,,23874.6,-0.01,3168.0,3168.0,23908.27,0.13
3n40_2,24611.48,-,-,-,-,-,-,24611.48,24656.51,0.18,24611.48,0.0,,24613.0,0.01,946.0,946.0,24616.44,0.02
3n40_3,25280.31,-,-,-,-,-,-,25280.31,25361.46,0.32,25405.41,0.49,,25280.3,0.0,1275.0,819.0,25282.74,0.01
3n40_4,26172.82,-,-,-,-,-,-,26172.82,26206.6,0.13,26268.01,0.36,,26157.6,-0.06,5147.0,5147.0,26181.21,0.03
3n40_5,27080.23,-,-,-,-,-,-,27080.23,27080.23,0.0,27160.16,0.3,,27055.2,-0.09,4160.0,4160.0,27115.03,0.13
4n40_2,20174.99,-,-,-,-,-,-,20174.99,20226.02,0.25,20174.99,0.0,,20176.2,0.01,1154.0,1154.0,20214.21,0.19
4n40_3,21190.9,-,-,-,-,-,-,21190.9,21284.83,0.44,21239.63,0.23,,21136.4,-0.26,3948.0,3948.0,21195.81,0.02
4n40_4,22212.5,-,-,-,-,-,-,22212.5,22276.83,0.29,22213.15,0.00,,22157.7,-0.25,3994.0,3526.0,22186.58,-0.12
4n40_5,23258.69,-,-,-,-,-,-,23258.69,23455.78,0.85,23258.69,0.0,,23300.1,0.18,5936.0,5936.0,23342.16,0.36
5n40_2,22835.89,-,-,-,-,-,-,22835.89,22867.59,0.14,22835.89,0.0,,22841.8,0.03,1762.0,1762.0,22858.54,0.1
5n40_3,23948.47,-,-,-,-,-,-,23948.47,24009.54,0.26,26437.84,10.39,,23919.5,-0.12,3370.0,3006.0,23931.54,-0.07
5n40_4,25056.16,-,-,-,-,-,-,25056.16,25187.97,0.53,25056.16,0.0,,25078.3,0.09,2463.0,2463.0,25098.3,0.17
5n40_5,26432.51,-,-,-,-,-,-,26432.51,26586.45,0.58,26452.81,0.08,,26461.1,0.11,2409.0,1921.0,26547.75,0.44
1n45_2,24310.7,-,-,-,-,-,-,24310.7,24310.7,0.0,24328.71,0.07,,24310.8,0.0,893.0,893.0,24345.35,0.14
1n45_3,25589.08,-,-,-,-,-,-,25589.08,25596.37,0.03,25805.66,0.85,,25600.6,0.05,3573.0,2849.0,25610.84,0.09
