"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
4n40_3,4,22195.7,22622.0,603.0,524.0,22203.8,22604.8,431.0,352.0,22200.0,22934.34,413.0,331.0,22228.8,22497.5,343.0,259.0
4n40_4,5,23383.0,23827.1,967.0,859.0,23399.7,23372.9,374.0,285.0,23372.9,23939.3,638.0,557.0,23367.4,23426.4,521.0,424.0
4n45_1,2,25368.6,25782.7,410.0,343.0,25378.0,25761.8,268.0,202.0,25370.0,26048.59,306.0,237.0,25374.0,25817.3,230.0,160.0
4n45_2,3,26852.2,26862.3,335.0,259.0,26847.5,27066.9,361.0,273.0,26804.5,27458.21,369.0,293.0,26840.8,27068.9,373.0,294.0
4n45_3,4,28407.8,28550.5,859.0,765.0,28490.6,28510.4,520.0,427.0,28405.8,29294.81,544.0,441.0,28437.5,28528.2,545.0,446.0
4n45_4,5,30269.7,30717.8,680.0,562.0,30351.6,31101.2,953.0,808.0,30181.3,31395.59,499.0,373.0,30314.5,30752.5,569.0,437.0
4n50_1,2,28882.5,28929.1,363.0,307.0,28881.5,29488.8,424.0,356.0,28873.3,30229.57,356.0,298.0,28880.1,28978.1,357.0,296.0
4n50_2,3,30779.6,31573.0,520.0,426.0,30757.1,31596.6,547.0,450.0,30744.6,31738.35,672.0,582.0,30764.4,31003.7,541.0,446.0
4n50_3,4,32979.9,33685.6,892.0,756.0,33041.4,33733.6,543.0,427.0,32879.0,34195.47,817.0,698.0,33115.6,33278.0,507.0,387.0
4n50_4,5,35258.6,35445.3,613.0,445.0,35317.0,35421.4,484.0,321.0,35168.4,36489.81,632.0,469.0,35130.1,35601.7,552.0,388.0
5n10_1,2,9205.0,9344.72,33.0,17.0,9201.36,9320.44,89.0,74.0,9200.85,9449.63,22.0,9.0,9211.65,9229.42,31.0,17.0
5n10_2,3,9879.98,9941.57,35.0,15.0,9886.31,9957.13,57.0,37.0,9884.53,10090.1,40.0,18.0,9886.5,9890.7,48.0,25.0
5n10_3,4,10660.8,10678.9,33.0,5.0,10660.8,10698.0,39.0,11.0,10661.1,10892.88,39.0,9.0,10660.8,10670.9,36.0,8.0
