Detailed results on small-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
2n30_5,11583.76,12182.37,5.17,137.17,12158.1,4.96,730,11583.76,11701.27,1.01,11694.21,0.95,,11546.8,-0.32,1317.0,1317.0,11611.25,0.24
3n30_2,8198.13,8494.76,3.62,158.24,8658.75,5.62,636,8198.13,8203.9,0.07,8198.13,0.0,,8198.15,0.00,1051.0,789.0,8198.5,0.0
3n30_3,9049.82,9313.19,2.91,399.37,9174.21,1.37,568,9049.82,9090.26,0.45,9085.3,0.39,,9077.24,0.30,1050.0,805.0,9090.3,0.45
3n30_4,9987.62,10599.68,6.13,163.42,10257.6,2.70,789,9987.62,9987.87,0.0,10016.05,0.28,,9968.18,-0.19,2210.0,1601.0,9988.06,0.0
3n30_5,11030.17,11580.08,4.99,153.68,11374.4,3.12,586,11030.17,11090.6,0.55,11030.17,0.0,,11023.5,-0.06,2802.0,2802.0,11023.95,-0.06
4n30_2,8067.39,8484.38,5.17,145.73,8142.37,0.93,133,8067.39,8151.75,1.05,8091.12,0.29,,8065.92,-0.02,1599.0,1182.0,8075.18,0.1
4n30_3,9092.8,9416.67,3.56,113.86,9214.67,1.34,565,9092.8,9143.26,0.55,9159.31,0.73,,9047.18,-0.50,1306.0,1306.0,9058.08,-0.38
4n30_4,10228.19,10737.43,4.98,110.62,10726.5,4.87,614,10228.19,10228.19,0.0,10348.65,1.18,,10230.3,0.02,2241.0,2241.0,10298.1,0.68
4n30_5,11484.3,12054.63,4.97,121.78,12212,6.34,696,11484.3,11706.55,1.94,11531.77,0.41,,11480.9,-0.0,1441.0,1148.0,11484.9,0.0
5n30_2,7835.21,8279.53,5.67,121.83,7850.42,0.19,282,7835.21,7942.02,1.36,7874.36,0.5,,7815.65,-0.25,1378.0,1378.0,7821.65,-0.17
5n30_3,8836.73,9194.51,4.05,160.02,9070.69,2.65,527,8836.73,9096.87,2.94,8840.18,0.04,,8823.89,-0.15,3936.0,3936.0,8896.21,0.67
5n30_4,10010.83,10449.8,4.39,162.67,10268.8,2.58,910,10010.83,10283.98,2.73,10010.83,0.0,,9987.43,-0.23,1687.0,1342.0,10045.56,0.35
5n30_5,11231.03,11784.8,4.93,126.62,11654,3.77,728,11231.03,11465.42,2.09,11231.03,0.0,,11209.2,-0.19,3061.0,3061.0,11274.38,0.39
1n35_2,8633.95,-,-,-,-,-,-,8633.95,8650.77,0.19,8755.35,1.41,,8634.89,0.01,1824.0,1824.0,8645.59,0.13
1n35_3,9715.79,-,-,-,-,-,-,9715.79,9804.14,0.91,9757.53,0.43,,9713.28,-0.03,2060.0,1538.0,9728.4,0.13
1n35_4,10973.86,-,-,-,-,-,-,10973.86,11045.81,0.66,10973.86,0.0,,10910.8,-0.57,3729.0,3307.0,10922.79,-0.47
1n35_5,12132.48,-,-,-,-,-,-,12132.48,12214.36,0.67,12221.59,0.73,,12083.9,-0.40,3788.0,3368.0,12114.69,-0.15
2n35_2,8925.53,-,-,-,-,-,-,8925.53,8962.87,0.42,8925.53,0.0,,8926.51,0.01,1075.0,1075.0,8957.66,0.36
2n35_3,9809.54,-,-,-,-,-,-,9809.54,10171.91,3.69,9937.1,1.30,,9809.76,0.00,1697.0,1436.0,9830.15,0.21
2n35_4,10734.71,-,-,-,-,-,-,10734.71,10760.73,0.24,10736.37,0.02,,10729.9,-0.04,1612.0,1320.0,10762.35,0.26
2n35_5,11833.97,-,-,-,-,-,-,11833.97,12018.57,1.56,11976.45,1.2,,11825.8,-0.07,1493.0,1136.0,11833.88,0.00
3n35_2,9770.67,-,-,-,-,-,-,9770.67,9797.97,0.28,10011.6,2.47,,9777.53,0.07,1432.0,1432.0,9781.24,0.11
3n35_3,11289.97,-,-,-,-,-,-,11289.97,11289.97,0.0,11589.87,2.66,,11290.2,0.00,1461.0,949.0,11290.35,0.0
3n35_4,12989.39,-,-,-,-,-,-,12989.39,13080.91,0.7,13148.17,1.22,,12982.5,-0.05,2613.0,2244.0,13027.6,0.29
