Detailed results on largel-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,CostAvg,GapAvg
7n200_3,23086.27,24142.74,4.58,8212.12,27107.5,17.42,785.0,23086.27,23521.75,1.89,23086.27,0.0,,23127.7,0.18,7200.0,23317.42,1.0
7n200_4,24264.74,25153.84,3.66,5353.66,28202.8,16.23,1149.0,24264.74,24448.47,0.76,24264.74,0.0,,24094.6,-0.7,12499.0,24361.5,0.4
7n200_5,25275.57,26726.94,5.74,7931.02,28211.8,11.62,2914.0,25275.57,25779.26,1.99,25275.57,0.0,,25517.1,0.96,12056.0,25771.84,1.96
8n200_2,22155.06,23017.64,3.89,8693.96,24758.7,11.75,393.0,22155.06,22754.02,2.70,22155.06,0.0,,22061.7,-0.42,7200.0,22165.44,0.05
8n200_3,22872.39,24410.64,6.73,5145.76,26791.2,17.13,336.0,22872.39,23198.51,1.43,22872.39,0.0,,22633.8,-1.04,7672.0,22803.36,-0.3
8n200_4,23469.35,24154.34,2.92,6043.75,28781.2,22.63,492.0,23469.35,23987.41,2.21,23469.35,0.0,,23466.7,-0.01,12227.0,23758.16,1.23
8n200_5,24576.43,25306.74,2.97,6179.93,27892.5,13.49,1017.0,24576.43,25860.65,5.23,24576.43,0.0,,24674.3,0.4,7200.0,24942.42,1.49
9n200_2,22863.86,23800.07,4.09,8057.78,25478.3,11.43,496.0,22863.86,24024.26,5.08,22863.86,0.0,,22822.8,-0.18,7200.0,22948.62,0.37
9n200_3,23811.53,24864.97,4.42,7502.32,28040.9,17.76,343.0,23811.53,24761.32,3.99,23811.53,0.0,,23571.4,-1.01,11540.0,23926.36,0.48
9n200_4,25035.85,26287.57,5.00,6189.17,28524.0,13.93,5083.0,25035.85,26210.67,4.69,25035.85,0.0,,24931.3,-0.42,20748.0,25408.82,1.49
9n200_5,26407.36,27477.17,4.05,5317.56,31572.8,19.56,407.0,26407.36,27819.77,5.35,26407.36,0.0,,26787.6,1.44,8078.0,27003.65,2.26
10n200_2,22438.26,23428.71,4.41,11442.0,25611.3,14.14,382.0,22438.26,23990.54,6.92,22438.26,0.0,,22531.4,0.42,7200.0,22699.76,1.17
10n200_3,23267.24,24756.41,6.40,6507.22,27772.2,19.36,353.0,23267.24,24419.97,4.95,23267.24,0.0,,23560.7,1.26,7200.0,23666.66,1.72
10n200_4,24606.36,25717.11,4.51,7878.98,28138.9,14.36,810.0,24606.36,26041.55,5.83,24606.36,0.0,,24925.6,1.3,7200.0,25019.64,1.68
10n200_5,26254.78,26887.81,2.41,10487.8,29627.1,12.84,791.0,26254.78,27216.69,3.66,26254.78,0.0,,26578.2,1.23,12927.0,26839.44,2.23
